name,address.city,check_in_date,check_in,check_out_date,check_out,sale_price,taxes,average_rate,total_price,Manual
Hyatt Place San Francisco / Downtown,San Francisco,11/8/2023,"Wed, Nov 8",11/9/2023,"Thu, Nov 9",489,80.44,569.44,569.44,1
Kimpton Hotel Born,Denver,11/5/2023,"Sun, Nov 5",11/6/2023,"Mon, Nov 6",339,80.59,419.59,419.59,1
Marriott St. Louis Grand,St Louis,8/21/2023,"Mon, Aug 21",8/22/2023,"Tue, Aug 22",309,58.5,367.5,367.5,1
Aloft Glendale at Westgate,Glendale,8/24/2023,"Thu, Aug 24",8/25/2023,"Fri, Aug 25",349,52.95,401.95,401.95,1
Santa Clara Marriott,Santa Clara,8/30/2023,"Wed, Aug 30",8/31/2023,"Thu, Aug 31",549,86.2,635.2,635.2,1
Homewood Suites by Hilton Seattle Downtown,Seattle,9/13/2023,"Wed, Sep 13",9/14/2023,"Thu, Sep 14",433,70.03,503.03,503.03,1
Four Points by Sheraton Downtown Seattle Center,Seattle,9/13/2023,"Wed, Sep 13",9/14/2023,"Thu, Sep 14",409,70.22,479.22,479.22,1
Live! by Loews,Arlington,9/21/2023,"Thu, Sep 21",9/22/2023,"Fri, Sep 22",649,120.43,769.43,769.43,1
Wyndham Houston near NRG Park/Medical Center,Houston,9/23/2023,"Sat, Sep 23",9/24/2023,"Sun, Sep 24",299.25,50.88,350.13,350.13,1
Courtyard Phoenix Downtown,Phoenix,7/22/2023,"Sat, Jul 22",7/23/2023,"Sun, Jul 23",169,21.24,190.24,190.24,1
Hyatt Regency Tulsa Downtown,Tulsa,7/27/2023,"Thu, Jul 27",7/28/2023,"Fri, Jul 28",349,57.65,406.65,406.65,1
Holiday Inn St. Paul Downtown,St Paul,7/30/2023,"Sun, Jul 30",7/31/2023,"Mon, Jul 31",243,36.16,279.16,279.16,1
"The Current Hotel, Autograph Collection",Tampa,9/7/2023,"Thu, Sep 7",9/8/2023,"Fri, Sep 8",359,48.47,407.47,407.47,1
Pittsburgh Marriott City Center,Pittsburgh,8/7/2023,"Mon, Aug 7",8/8/2023,"Tue, Aug 8",229,32.06,261.06,261.06,1
DoubleTree by Hilton Hotel & Suites Pittsburgh Downtown,Pittsburgh,8/7/2023,"Mon, Aug 7",8/8/2023,"Tue, Aug 8",369,51.66,420.66,420.66,1
Embassy Suites by Hilton Seattle Downtown Pioneer Square,Seattle,9/20/2023,"Wed, Sep 20",9/21/2023,"Thu, Sep 21",639,104.32,743.32,743.32,1
Homewood Suites by Hilton Athens Downtown University Area,Athens,9/22/2023,"Fri, Sep 22",9/24/2023,"Sun, Sep 24",1004,311.2,1159.6,2319.2,1
AC Hotel Boston Downtown,Boston,4/7/2023,"Fri, Apr 7",4/9/2023,"Sun, Apr 9",284,93.44,330.72,661.44,1
Wyndham Houston near NRG Park/Medical Center,Houston,9/23/2023,"Sat, Sep 23",9/24/2023,"Sun, Sep 24",299.25,50.88,350.13,350.13,1
Hampton Inn & Suites Knoxville-Downtown,Knoxville,10/16/2023,"Mon, Oct 16",10/17/2023,"Tue, Oct 17",217,37.43,254.43,254.43,1
"Courtyard By Marriott Washington, DC/Foggy Bottom",Washington,4/28/2023,"Fri, Apr 28",4/29/2023,"Sat, Apr 29",329,49.19,378.19,378.19,1
AC Hotel by Marriott Minneapolis Downtown,Minneapolis,8/10/2023,"Thu, Aug 10",8/11/2023,"Fri, Aug 11",299,39.8,338.8,338.8,1
Loews Minneapolis Hotel,Minneapolis,8/10/2023,"Thu, Aug 10",8/11/2023,"Fri, Aug 11",429,60.19,489.19,489.19,1
AC Hotel by Marriott Minneapolis Downtown,Minneapolis,8/10/2023,"Thu, Aug 10",8/11/2023,"Fri, Aug 11",329,43.79,372.79,372.79,1
Loews Minneapolis Hotel,Minneapolis,8/10/2023,"Thu, Aug 10",8/11/2023,"Fri, Aug 11",459,64.4,523.4,523.4,1
Courtyard Los Angeles LAX/Hawthorne,Hawthorne,6/3/2023,"Sat, Jun 3",6/4/2023,"Sun, Jun 4",239,29.15,268.15,268.15,1
Holiday Inn & Suites Duluth-Downtown,Duluth,8/2/2023,"Wed, Aug 2",8/3/2023,"Thu, Aug 3",279,40.12,319.12,319.12,1
