"id","name","brand","address.addr1","address.city","address.region","address.country","latitude","longitude","check_in_date","check_in","check_out_date","check_out","event","nights","sale_price","taxes","average_rate","total_price","url"
"c563aa7a-c2ef-44ee-b0a3-5ad0379e1dfe","Sofitel Philadelphia","Accor","120 S 17th St","Philadelphia","PA","US",39.95074,-75.16904,"2023-05-12","Fri, May 12","2023-05-14","Sun, May 14","Wharton Reunion Weekend",2,819,267,952,1905,"https://www.gohoken.com/hotels/c563aa7a-c2ef-44ee-b0a3-5ad0379e1dfe/21e20ecc-3b4c-4ba3-92d0-f36b6bd1a2e2"
"d3bab46e-90b4-42cb-9ef4-37ee9e13043b","Cambria Hotel Nashville Downtown","Choice Hotels","118 8th Ave S","Nashville","TN","US",36.157777,-86.78098,"2023-05-05","Fri, May 5","2023-05-06","Sat, May 6","The Eras Tour Taylor Swift Nashville",1,649,101,750,750,"https://www.gohoken.com/hotels/d3bab46e-90b4-42cb-9ef4-37ee9e13043b/284ae8bb-2cf0-43d4-8fc6-8c8b7009e832"
"1c9df4aa-eaf7-40a3-a0cb-534ea5c22e36","Comfort Suites - South Austin","Choice Hotels","5001 S I-35 Frontage Rd","Austin","TX","US",30.20488,-97.757824,"2023-10-19","Thu, Oct 19","2023-10-23","Mon, Oct 23","Formula 1 Austin",4,584,397,683,2733,"https://www.gohoken.com/hotels/1c9df4aa-eaf7-40a3-a0cb-534ea5c22e36/feef5f44-2f94-4853-ba3c-28c03c09c12b"
"1c9df4aa-eaf7-40a3-a0cb-534ea5c22e36","Comfort Suites - South Austin","Choice Hotels","5001 S I-35 Frontage Rd","Austin","TX","US",30.20488,-97.757824,"2023-10-20","Fri, Oct 20","2023-10-22","Sun, Oct 22","Formula 1 Austin",2,609,207,712,1425,"https://www.gohoken.com/hotels/1c9df4aa-eaf7-40a3-a0cb-534ea5c22e36/feef5f44-2f94-4853-ba3c-28c03c09c12b"
"1c9df4aa-eaf7-40a3-a0cb-534ea5c22e36","Comfort Suites - South Austin","Choice Hotels","5001 S I-35 Frontage Rd","Austin","TX","US",30.20488,-97.757824,"2023-10-20","Fri, Oct 20","2023-10-23","Mon, Oct 23","Formula 1 Austin",3,566,288,662,1986,"https://www.gohoken.com/hotels/1c9df4aa-eaf7-40a3-a0cb-534ea5c22e36/feef5f44-2f94-4853-ba3c-28c03c09c12b"
"a7a16bc4-5c1b-4c10-b607-064290f5e940","Hilton Tampa Airport Westshore","Hilton","2225 N Lois Ave","Tampa","FL","US",27.96269,-82.5136,"2023-04-13","Thu, Apr 13","2023-04-14","Fri, Apr 14","The Eras Tour Taylor Swift Tampa",1,385,51,436,436,"https://www.gohoken.com/hotels/a7a16bc4-5c1b-4c10-b607-064290f5e940/d50f78f2-b57c-4b7f-9ead-ae1395c28708"
"aafe3ab2-e9fb-45d1-932f-bd22a49e10a7","Hilton Fort Lauderdale Marina","Hilton","1881 SE 17th St","Fort Lauderdale","FL","US",26.10072,-80.12294,"2023-04-14","Fri, Apr 14","2023-04-16","Sun, Apr 16","Rock The Ocean's 2023 Tortuga Music Festival",2,614,227,727,1455,"https://www.gohoken.com/hotels/aafe3ab2-e9fb-45d1-932f-bd22a49e10a7/588a9418-1cee-4f29-97c1-441e3b560833"
"4385fc08-54c1-497c-ae55-ad368264ea9f","Hilton Garden Inn Athens Downtown","Hilton","390 E Washington St","Athens","GA","US",33.95958,-83.37395,"2023-04-21","Fri, Apr 21","2023-04-23","Sun, Apr 23","Athens Twilight",2,249,84,291,582,"https://www.gohoken.com/hotels/4385fc08-54c1-497c-ae55-ad368264ea9f/4f81cc44-0ccb-427b-8ca8-fad295eefcf6"
"dbdaa484-bb82-4cce-b475-0ea826ace7cb","Hilton Garden Inn Lincoln Downtown/Haymarket","Hilton","801 R St","Lincoln","NE","US",40.81654,-96.70958,"2023-04-29","Sat, Apr 29","2023-04-30","Sun, Apr 30","Morgan Wallen One Night At A Time World Tour Lincoln",1,499,83,582,582,"https://www.gohoken.com/hotels/dbdaa484-bb82-4cce-b475-0ea826ace7cb/9467728b-e68a-4352-871b-6587c877441f"
"ffa6ab68-b705-472c-a83f-ef4d15185f39","Hilton Miami Downtown","Hilton","1601 Biscayne Blvd","Miami","FL","US",25.790955,-80.188055,"2023-05-04","Thu, May 4","2023-05-08","Mon, May 8","Formula 1 Miami",4,551,286,622,2490,"https://www.gohoken.com/hotels/ffa6ab68-b705-472c-a83f-ef4d15185f39/1d7f29a8-f214-469f-9651-24d76486d48c"
